Fecha Transferencia,Fecha Producción,Fecha Descongelamiento,Línea celular,Tipo celular,Días de cultivo celular,% Confluencia,Cantidad de Pasajes bool,Cantidad de Pasajes numeric,"Tiempo con bajo suero (DMEM 0,5% SFB) en horas",Origen,% Maduración,Calidad,% Clivaje,Medio Placas del día,Día cambio de medio,Día de evolución,Grado embrionario,Fragmentación celular,ø Eje menor,ø Eje mayor,Tipo de ovocito,Tipo embrión,Yegua receptora N°,Días post-ovulación,Preñez
28/9/2023,21/9/2023,13/9/2023,Cuartetera K230,MSC-E,8,100,0,1,72,Local,57.93,Sin observaciones,35.4,Global,5,D7,II,No,852.4,880,Con ZP,Fresco,302,4,Sin éxito
28/9/2023,21/9/2023,13/9/2023,Cuartetera K230,MSC-E,8,100,0,1,72,Local,57.93,Sin observaciones,35.4,Global,5,D7,II,No,817.8,844.2,Con ZP,Fresco,351,5,Sin éxito
28/9/2023,21/9/2023,13/9/2023,Cuartetera K230,MSC-E,8,100,0,1,72,Local,57.93,Sin observaciones,35.4,Global,5,D7,III,Sí,543.8,582.5,Con ZP,Fresco,209,4,Exitosa
3/10/2023,26/9/2023,20/9/2023,Royal Power K352,MSC-E,6,100,0,1,96,Local,54.11,Sin observaciones,34.19,F12,5,D7,II,Sí,789.7,820.8,Con ZP,Fresco,377,5,Sin éxito
4/10/2023,26/9/2023,20/9/2023,Royal Power K352,MSC-E,6,100,0,1,96,Local,54.11,Sin observaciones,34.19,F12,5,D8,III,Sí,569.1,580.9,Con ZP,Fresco,696,5,Sin éxito
4/10/2023,26/9/2023,20/9/2023,Royal Power K352,MSC-E,6,100,0,1,96,Local,54.11,Sin observaciones,34.19,F12,5,D8,III,Sí,536.4,570.2,Con ZP,Fresco,411,5,Sin éxito
4/10/2023,26/9/2023,20/9/2023,Royal Power K352,MSC-E,6,100,0,1,96,Local,54.11,Sin observaciones,34.19,F12,5,D8,III,Sí,684.3,732.6,Con ZP,Fresco,082 LV,5,Sin éxito
4/10/2023,27/9/2023,20/9/2023,Urraca K347,FB-E,7,100,0,3,24,Extranjero,62.7,Sin observaciones,32.11,F12,5,D7,II,No,675.8,700.7,Con ZP,Fresco,371,5,Exitosa
4/10/2023,27/9/2023,20/9/2023,Urraca K347,FB-E,7,100,0,3,24,Extranjero,62.7,Sin observaciones,32.11,F12,5,D7,II,No,713.7,715.9,Con ZP,Fresco,207 LV,5,Sin éxito
5/10/2023,26/9/2023,20/9/2023,Royal Power K352,MSC-E,6,100,0,1,96,Local,54.11,Sin observaciones,34.19,F12,5,D9,III,No,795.1,814,Con ZP,Fresco,183,4,Sin éxito
5/10/2023,28/9/2023,21/9/2023,Open Suma K291,MSC-E,7,100,0,1,72,Local,63.37,Sin observaciones,37.38,F12,5,D7,III,Sí,596.4,643.8,Con ZP,Fresco,536,4,Sin éxito
5/10/2023,28/9/2023,21/9/2023,Open Suma K291,MSC-E,7,100,0,1,72,Local,63.37,Sin observaciones,37.38,F12,5,D7,III,Sí,576.3,620.8,Con ZP,Fresco,614,5,Exitosa
5/10/2023,28/9/2023,21/9/2023,Open Suma K291,MSC-E,7,100,0,1,72,Local,63.37,Sin observaciones,37.38,F12,5,D7,III,Sí,541.3,564.6,Con ZP,Fresco,238,4,Sin éxito
10/10/2023,3/10/2023,27/9/2023,Small Axe K335,MSC-E,6,100,1,2,96,Extranjero,59.73,Sin observaciones,85.29,F12,6,D7,I,No,843.2,844.6,Con ZP,Fresco,539,5,Sin éxito
10/10/2023,3/10/2023,27/9/2023,Small Axe K335,MSC-E,6,100,1,2,96,Extranjero,59.73,Sin observaciones,85.29,F12,6,D7,I,No,872.2,920.1,Con ZP,Fresco,113,5,Sin éxito
10/10/2023,3/10/2023,27/9/2023,Small Axe K335,MSC-E,6,100,1,2,96,Extranjero,59.73,Sin observaciones,85.29,F12,6,D7,II,No,764.5,771.3,Con ZP,Fresco,461,5,Sin éxito
11/10/2023,4/10/2023,27/9/2023,Open Nerea K331,MSC-E,7,100,0,1,120,Local,61.27,Sin observaciones,34.26,F12,5,D7,II,No,805.9,820.5,Con ZP,Fresco,574,5,Sin éxito
11/10/2023,4/10/2023,27/9/2023,Open Nerea K331,MSC-E,7,100,0,1,120,Local,61.27,Sin observaciones,34.26,F12,5,D7,III,Sí,725.7,740.1,Con ZP,Fresco,295,5,Sin éxito
12/10/2023,5/10/2023,29/9/2023,Ro Shy Dandy K401,MSC-E,6,100,0,1,24,Local,57.17,Sin observaciones,49.58,F12,5,D7,II,No,870.1,870.7,Con ZP,Fresco,408,4,Exitosa
12/10/2023,5/10/2023,29/9/2023,Ro Shy Dandy K401,MSC-E,6,100,0,1,24,Local,57.17,Sin observaciones,49.58,F12,5,D7,II,Sí,813.6,840.1,Con ZP,Fresco,695,4,Sin éxito
18/10/2023,11/10/2023,4/10/2023,La Dolfina Roxy K184,MSC-E,7,100,0,1,120,Local,64.53,Sin observaciones,34.91,Global,5,D7,I,No,,,Con ZP,Fresco,588,5,Sin éxito
18/10/2023,11/10/2023,4/10/2023,La Dolfina Roxy K184,MSC-E,7,100,0,1,120,Local,64.53,Sin observaciones,34.91,Global,5,D7,I,No,,,Con ZP,Fresco,514,5,Sin éxito
18/10/2023,11/10/2023,4/10/2023,La Dolfina Roxy K184,MSC-E,7,100,0,1,120,Local,64.53,Sin observaciones,34.91,Global,5,D7,I,No,,,Con ZP,Fresco,332,5,Sin éxito
18/10/2023,11/10/2023,4/10/2023,La Dolfina Roxy K184,MSC-E,7,100,0,1,120,Local,64.53,Sin observaciones,34.91,Global,5,D7,I,No,,,Con ZP,Fresco,532,5,Sin éxito
18/10/2023,11/10/2023,4/10/2023,La Dolfina Roxy K184,MSC-E,7,100,0,1,120,Local,64.53,Sin observaciones,34.91,Global,5,D7,I,No,,,Con ZP,Fresco,491,5,Exitosa
18/10/2023,11/10/2023,4/10/2023,La Dolfina Roxy K184,MSC-E,7,100,0,1,120,Local,64.53,Sin observaciones,34.91,Global,5,D7,II,No,,,Con ZP,Fresco,575,5,Exitosa
18/10/2023,11/10/2023,4/10/2023,La Dolfina Roxy K184,MSC-E,7,100,0,1,120,Local,64.53,Sin observaciones,34.91,Global,5,D7,II,No,,,Con ZP,Fresco,569,5,Exitosa
18/10/2023,11/10/2023,4/10/2023,La Dolfina Roxy K184,MSC-E,7,100,0,1,120,Local,64.53,Sin observaciones,34.91,Global,5,D7,II,No,,,Con ZP,Fresco,265,5,Sin éxito
18/10/2023,11/10/2023,4/10/2023,La Dolfina Roxy K184,MSC-E,7,100,0,1,120,Local,64.53,Sin observaciones,34.91,Global,5,D7,II,No,,,Con ZP,Fresco,593,5,Exitosa
18/10/2023,11/10/2023,4/10/2023,La Dolfina Roxy K184,MSC-E,7,100,0,1,120,Local,64.53,Sin observaciones,34.91,Global,5,D7,II,No,,,Con ZP,Fresco,710,5,Exitosa
