Fecha Transferencia,Fecha Producción,Fecha Descongelamiento,Línea celular,Tipo celular,Días de cultivo celular,% Confluencia,Cantidad de Pasajes bool,Cantidad de Pasajes numeric,"Tiempo con bajo suero (DMEM 0,5% SFB) en horas",Origen,% Maduración,Calidad,% Clivaje,Medio Placas del día,Día cambio de medio,Día de evolución,Grado embrionario,Fragmentación celular,ø Eje menor,ø Eje mayor,Tipo de ovocito,Tipo embrión,Yegua receptora N°,Días post-ovulación,Preñez,Nacimientos
08/03/2024,28/2/2024,22/2/2024,WILSON K359,MSC-E,6,100,0,1,72,Local,63.2,Sin observaciones,51.16,Global,5,D9,II,No,751.1,783,Con ZP,Fresco,672,5,Exitosa,SIN ÉXITO
12/03/2024,5/3/2024,29/2/2024,Katanga K323,MSC-E,5,100,0,1,24,Local,67.65,Sin observaciones,77.11,Global,6,D7,III,Sí,570.5,690.8,Con ZP,Fresco,002 LV,4,Exitosa,SIN ÉXITO
12/03/2024,5/3/2024,29/2/2024,Katanga K323,MSC-E,5,100,0,1,24,Local,67.65,Sin observaciones,77.11,Global,6,D7,III,Sí,592.6,604.8,Con ZP,Fresco,191,4,Exitosa,SIN ÉXITO
12/03/2024,5/3/2024,29/2/2024,Katanga K323,MSC-E,5,100,0,1,24,Local,67.65,Sin observaciones,77.11,Global,6,D7,III,Sí,690.5,754,Con ZP,Fresco,570,5,Exitosa,EXITOSO
13/03/2023,5/3/2024,29/2/2024,Katanga K323,MSC-E,5,100,0,1,24,Local,67.65,Sin observaciones,77.11,F12,6,D8,III,Sí,503.5,533.2,Con ZP,Fresco,543,5,Exitosa,SIN ÉXITO
14/03/2024,6/3/2024,29/2/2024,Micky Plaza  K333,MSC-E,6,100,0,3,48,Extranjero,59.64,Sin observaciones,79.07,F12,5,D9,II,Sí,705.2,755.3,Con ZP,Fresco,332,5,Exitosa,EXITOSO
14/03/2024,6/3/2024,29/2/2024,Micky Plaza  K333,MSC-E,6,100,0,3,48,Extranjero,59.64,Sin observaciones,79.07,F12,5,D9,II,No,806,806.6,Con ZP,Fresco,311,5,Exitosa,EXITOSO
14/03/2024,6/3/2024,29/2/2024,Micky Plaza  K333,MSC-E,6,100,0,3,48,Extranjero,59.64,Sin observaciones,79.07,F12,5,D9,II,Sí,678.2,693.2,Con ZP,Fresco,747,5,Exitosa,EXITOSO
19/03/2024,12/3/2024,7/3/2024,La Dolfina Música K416,MSC-E,5,100,0,1,24,Local,61.14,Sin observaciones,41.8,F12,6,D7,III,Sí,631.2,706.5,Con ZP,Fresco,D478,5,Exitosa,EXITOSO
19/03/2024,12/3/2024,7/3/2024,La Dolfina Música K416,MSC-E,5,100,0,1,24,Local,61.14,Sin observaciones,41.8,F12,6,D7,III,Sí,635.5,655.5,Con ZP,Fresco,621,5,Exitosa,EXITOSO
20/03/2024,13/3/2024,6/3/2024,Drogba K423,MSC-E,7,100,0,1,120,Local,68.87,Sin observaciones,40.54,F12,5,D7,II,No,808,812.4,Con ZP,Fresco,284,5,Exitosa,EXITOSO
21/03/2024,13/3/2024,6/3/2024,Drogba K423,MSC-E,7,100,0,1,120,Local,68.87,Sin observaciones,40.54,F12,5,D8,II,No,750.4,782.8,Con ZP,Fresco,405,4,Exitosa,EXITOSO
21/03/2024,13/3/2024,6/3/2024,Drogba K423,MSC-E,7,100,0,1,120,Local,68.87,Sin observaciones,40.54,F12,5,D8,II,No,742,791.2,Con ZP,Fresco,630,4,Exitosa,EXITOSO
21/03/2024,13/3/2024,6/3/2024,Drogba K423,MSC-E,7,100,0,1,120,Local,68.87,Sin observaciones,40.54,F12,5,D8,II,No,782.2,824.9,Con ZP,Fresco,563,4,Exitosa,EXITOSO
22/03/2024,13/3/2024,6/3/2024,Drogba K423,MSC-E,7,100,0,1,120,Local,68.87,Sin observaciones,40.54,F12,5,D9,II,Sí,563.6,763.4,Con ZP,Fresco,706,5,Exitosa,EXITOSO
22/03/2024,13/3/2024,6/3/2024,Drogba K423,MSC-E,7,100,0,1,120,Local,68.87,Sin observaciones,40.54,F12,5,D9,III,Sí,579.3,587.1,Con ZP,Fresco,706,5,Exitosa,EXITOSO
22/03/2024,13/3/2024,6/3/2024,Drogba K423,MSC-E,7,100,0,1,120,Local,68.87,Sin observaciones,40.54,F12,5,D9,II,Sí,,,Con ZP,Fresco,700,5,Exitosa,EXITOSO
22/03/2024,13/3/2024,6/3/2024,Drogba K423,MSC-E,7,100,0,1,120,Local,68.87,Sin observaciones,40.54,F12,5,D9,II,No,796.4,809,Con ZP,Fresco,B2,5,Exitosa,EXITOSO
22/03/2024,13/3/2024,6/3/2024,Drogba K423,MSC-E,7,100,0,1,120,Local,68.87,Sin observaciones,40.54,F12,5,D9,II,No,857.7,876,Con ZP,Fresco,54,5,Exitosa,EXITOSO
26/03/2024,19/3/2024,14/3/2024,Show Down K375,MSC-E,5,100,0,1,24,Local,64.6,Sin observaciones,41.35,F12,6,D7,III,Sí,626.1,674,Con ZP,Fresco,A70,4,Exitosa,EXITOSO
26/03/2024,19/3/2024,14/3/2024,Show Down K375,MSC-E,5,100,0,1,24,Local,64.6,Sin observaciones,41.35,F12,6,D7,III,No,631,652.1,Con ZP,Fresco,553,4,Exitosa,EXITOSO
26/03/2024,19/3/2024,14/3/2024,Show Down K375,MSC-E,5,100,0,1,24,Local,64.6,Sin observaciones,41.35,F12,6,D7,III,Sí,390.7,609.7,Con ZP,Fresco,519,5,Exitosa,EXITOSO
26/03/2024,19/3/2024,14/3/2024,Show Down K375,MSC-E,5,100,0,1,24,Local,64.6,Sin observaciones,41.35,F12,6,D7,III,Sí,561.4,644.6,Con ZP,Fresco,355,5,Exitosa,EXITOSO
27/03/2024,19/3/2024,14/3/2024,Show Down K375,MSC-E,5,100,0,1,24,Local,64.6,Sin observaciones,41.35,F12,6,D8,III,Sí,620.4,670.4,Con ZP,Fresco,75,5,Exitosa,EXITOSO
27/03/2024,20/3/24,14/3/24,E11 Emiratos K365,FB-E,6,100,0,3,24,Extranjero,59.5,Sin observaciones,30.43,F12,5,D7,II,No,727,736,Con ZP,Fresco,735,5,Exitosa,EXITOSO
28/03/2024,21/3/24,13/3/2024,Sportivo K240 FB-E,FB-E,8,90,1,2,24,Local,61.65,Sin observaciones,43.33,F12,5,D7,III,Sí,631.1,718.3,Con ZP,Fresco,305,4,Exitosa,EXITOSO
29/03/2024,21/3/24,13/3/2024,Sportivo K240 FB-E,FB-E,8,90,1,2,24,Local,61.65,Sin observaciones,43.33,F12,5,D8,III,No,,,Con ZP,Fresco,481,5,Exitosa,EXITOSO
02/04/2024,26/3/24,21/3/24,Micky Plaza  K333,MSC-E,5,100,0,3,24,Extranjero,29.39,Sin observaciones,40.45,F12,6,D7,II,No,,,Con ZP,Fresco,494,5,Exitosa,EXITOSO
02/04/2024,26/3/24,21/3/24,Micky Plaza  K333,MSC-E,5,100,0,3,24,Extranjero,29.39,Sin observaciones,40.45,F12,6,D7,III,No,,,Con ZP,Fresco,1575,5,Exitosa,EXITOSO
02/04/2024,26/3/24,21/3/24,Micky Plaza  K333,MSC-E,5,100,0,3,24,Extranjero,29.39,Sin observaciones,40.45,F12,6,D7,III,No,,,Con ZP,Fresco,600,5,Exitosa,EXITOSO
02/04/2024,26/3/24,21/3/24,Open Nerea K331,MSC-E,5,100,0,1,24,Local,29.39,Sin observaciones,31.25,F12,6,D7,III,No,,,Con ZP,Fresco,535,5,Exitosa,EXITOSO
03/04/2024,26/3/24,21/3/24,Open Nerea K331,MSC-E,5,100,0,1,24,Local,29.39,Sin observaciones,31.25,F12,6,D8,III,No,725.9,729.5,Con ZP,Fresco,297,5,Exitosa,EXITOSO
03/04/2024,26/3/24,21/3/24,Open Nerea K331,MSC-E,5,100,0,1,24,Local,29.39,Sin observaciones,31.25,F12,6,D8,III,No,646.5,722,Con ZP,Fresco,5,5,Exitosa,EXITOSO
03/04/2024,26/3/24,21/3/24,Open Nerea K331,MSC-E,5,100,0,1,24,Local,29.39,Sin observaciones,31.25,F12,6,D8,III,No,475,532.6,Con ZP,Fresco,141,5,Exitosa,EXITOSO
04/04/2024,28/3/24,21/3/24,C3 Emiratos K188,FB-E,7,100,0,2,72,Extranjero,66.47,Sin observaciones,48.39,F12,5,D7,II,No,825.8,828.2,Con ZP,Fresco,124,4,Exitosa,EXITOSO
04/04/2024,27/3/24,20/3/24,Babel K422,FB-E,7,70,0,4,24,Local,59.47,Sin observaciones,39.05,F12,5,D8,III,Sí,670,684.3,Con ZP,Fresco,586 LV,4,Exitosa,EXITOSO
04/04/2024,27/3/24,20/3/24,Babel K422,FB-E,7,70,0,4,24,Local,59.47,Sin observaciones,39.05,F12,5,D8,III,Sí,503.1,513.6,Con ZP,Fresco,514,4,Exitosa,EXITOSO
05/04/2024,28/3/24,21/3/24,C3 Emiratos K188,FB-E,7,100,0,2,72,Extranjero,66.47,Sin observaciones,48.39,F12,5,D8,II,No,718.2,738.3,Con ZP,Fresco,748,5,Exitosa,EXITOSO
05/04/2024,28/3/24,21/3/24,C3 Emiratos K188,FB-E,7,100,0,2,72,Extranjero,66.47,Sin observaciones,48.39,F12,5,D8,II,No,744,759,Con ZP,Fresco,644,5,Exitosa,EXITOSO
09/04/2024,28/3/24,21/3/24,C3 Emiratos K188,FB-E,7,100,0,2,72,Extranjero,66.47,Sin observaciones,48.39,F12,5,D8,III,Sí,540.4,547,Con ZP,Vitrificado,676,4,Exitosa,EXITOSO
09/04/2024,28/3/24,21/3/24,C3 Emiratos K188,FB-E,7,100,0,2,72,Extranjero,66.47,Sin observaciones,48.39,F12,5,D8,III,Sí,515.9,575.2,Con ZP,Vitrificado,461,4,Exitosa,EXITOSO
09/04/2024,28/3/24,21/3/24,C3 Emiratos K188,FB-E,7,100,0,2,72,Extranjero,66.47,Sin observaciones,48.39,F12,5,D8,III,Sí,564.3,685.2,Con ZP,Vitrificado,461,4,Exitosa,EXITOSO
09/04/2024,27/3/24,20/3/24,Babel K422,FB-E,7,70,0,4,24,Local,59.47,Sin observaciones,39.05,F12,5,D9,II,No,754.9,771.1,Con ZP,Vitrificado,381,5,Exitosa,EXITOSO
11/04/2024,4/4/24,28/3/24,Mi Lucha Geisha K417,MSC-E,7,100,0,1,72,Local,54.11,Sin observaciones,41.62,F12,5,D7,II,Sí,852.7,861.3,Con ZP,Fresco,499,5,Exitosa,EXITOSO
11/04/2024,4/4/24,28/3/24,Mi Lucha Geisha K417,MSC-E,7,100,0,1,72,Local,54.11,Sin observaciones,41.62,F12,5,D7,II,No,836,837.7,Con ZP,Fresco,217,4,Exitosa,EXITOSO
11/04/2024,4/4/24,28/3/24,Mi Lucha Geisha K417,MSC-E,7,100,0,1,72,Local,54.11,Sin observaciones,41.62,F12,5,D7,III,No,780.1,784.9,Con ZP,Fresco,609,4,Exitosa,EXITOSO
12/04/2024,4/4/24,28/3/24,Mi Lucha Geisha K417,MSC-E,7,100,0,1,72,Local,54.11,Sin observaciones,41.62,F12,5,D8,I,No,,,Con ZP,Fresco,739,5,Exitosa,EXITOSO
8/9/2022,31/8/2022,23/8/2022,Matrix K358,MSC-E,8,100,0,1,96,Local,56.8,Sin observaciones,14,F12,5,D8,II,,,,Con ZP,Fresco,215,4,Exitosa,EXITOSO
8/9/2022,1/9/2022,23/8/2022,Matrix K358,MSC-E,9,100,0,1,72,Local,50.7,Sin observaciones,34,F12,6,D7,II,,,,Con ZP,Fresco,626,4,Exitosa,EXITOSO
22/9/2022,15/9/2022,6/9/2022,WILSON K359,MSC-E,9,100,0,2,48,Local,59,Sin observaciones,34,F12,5,D7,II,,,,Con ZP,Fresco,277,4,Exitosa,EXITOSO
13/10/2022,6/10/2022,28/9/2022,Small Axe K335,MSC-E,8,100,1,2,72,Extranjero,58.4,Sin observaciones,50,F12,4,D7,II,,,,Con ZP,Fresco,367,5,Exitosa,EXITOSO
19/10/2022,12/10/2022,6/10/2022,Sportivo K240,FB-E,6,90,1,2,24,Local,51.3,Sin observaciones,60,F12,5,D7,II,,,,Con ZP,Fresco,331,5,Exitosa,SIN ÉXITO
1/11/2022,25/10/2022,19/10/2022,Gaucho K353,MSC-E,6,100,0,1,24,Local,56.5,Sin observaciones,62.5,F12,6,D7,II,,,,Con ZP,Fresco,212,5,Exitosa,EXITOSO
10/11/2022,3/11/2022,26/10/2022,Milenaria K225,MSC-E,8,95,0,2,96,Local,60.23,Sin observaciones,45,F12,4,D7,II,,,,Con ZP,Fresco,435,4,Exitosa,EXITOSO
15/11/2022,8/11/2022,2/11/2022,P1-Emiratos K366,FB-E,6,100,0,1,24,Extranjero,64.6,Sin observaciones,34,F12,6,D7,II,,,,Con ZP,Fresco,271,5,Exitosa,SIN ÉXITO
17/11/2022,8/11/2022,2/11/2022,P1-Emiratos K366,FB-E,6,100,0,1,24,Extranjero,64.6,Sin observaciones,34,F12,6,D9,II,,,,Con ZP,Fresco,470,5,Exitosa,EXITOSO
18/11/2022,10/11/2022,2/11/2022,E9-Emiratos K366,FB-E,8,100,0,1,72,Extranjero,55.1,Sin observaciones,42,F12,4,D8,II,,,,Con ZP,Fresco,359 LV,5,Exitosa,EXITOSO
23/11/2022,16/11/2022,9/11/2022,E11-Emiratos K365,FB-E,7,100,1,2,96,Extranjero,59.7,Sin observaciones,41.7,F12,5,D7,III,,,,Con ZP,Fresco,366,5,Exitosa,EXITOSO
24/11/2022,17/11/2022,9/11/2022,Latia Ramona K326,MSC-E,8,98,0,1,48,Local,57.8,Sin observaciones,56.4,F12,4,D7,II,,,,Con ZP,Fresco,216,4,Exitosa,EXITOSO
24/11/2022,17/11/2022,9/11/2022,Latia Ramona K326,MSC-E,8,98,0,1,48,Local,57.8,Sin observaciones,56.4,F12,4,D7,II,,,,Con ZP,Fresco,524,4,Exitosa,EXITOSO
8/12/2022,1/12/2022,23/11/2022,D1-Emiratos K369,FB-E,8,100,1,2,48,Extranjero,64.3,Sin observaciones,42.6,F12,6,D7,I,,,,Con ZP,Fresco,403,4,Exitosa,EXITOSO
13/12/2022,6/12/2022,30/11/2022,L.D. TORO K001,MSC-E,6,100,1,2,96,Local,64.1,Sin observaciones,37,F12,6,D7,I,,,,Con ZP,Fresco,719,4,Exitosa,EXITOSO
21/12/2022,14/12/2022,7/12/2022,Jive K293,MSC-E,7,100,0,1,48,Local,62.2,Sin observaciones,59,F12,5,D7,I,,,,Con ZP,Fresco,260,5,Exitosa,SIN ÉXITO
21/12/2022,14/12/2022,7/12/2022,Jive K293,MSC-E,7,100,0,1,48,Local,62.2,Sin observaciones,59,F12,5,D7,II,,,,Con ZP,Fresco,587,5,Exitosa,EXITOSO
25/1/2023,27/12/2022,22/12/2022,Belen K211,MSC-E,5,1,0,1,96,Local,57.3,Sin observaciones,0.47,Global,5,D8,II,,,,Con ZP,Vitrificado,724,5,Exitosa,EXITOSO
